Data, 1178501, 10377, 14, 0, 0, 0
Data err, 1085.5878591804535, 101.86756107809786, 3.7416573867739413, 0, 0, 0
DY, 1128319.25, 8064.70703125, 4.5108642578125, 0, 0, 0
DY err, 915.69153217025018, 76.804499363065958, 1.8288599816654993, 0, 0, 0
GJets, 312.72854614257812, 0, 0, 0, 0, 0
GJets err, 179.20556397848031, 0, 0, 0, 0, 0
SingleTop, 1872.761962890625, 32.420280456542969, 0, 0, 0, 0
SingleTop err, 12.457485518181409, 1.6233551334385781, 0, 0, 0, 0
ZH, 53.343399047851562, 1.2625464200973511, 0.0057461299002170563, 0, 0, 0
ZH err, 0.091489192411492018, 0.013964923056642573, 0.00094704917460741126, 0, 0, 0
VV, 5737.1552734375, 55.516757965087891, 0.16148240864276886, 0, 0, 0
VV err, 15.776391954524673, 1.4290383927152654, 0.072152758650906618, 0, 0, 0
TT, 19142.822265625, 431.43606567382812, 1.4498652219772339, 0, 0, 0
TT err, 68.785532021204631, 10.309342670638411, 0.57037597221248992, 0, 0, 0
VG, 22983.517578125, 223.4656982421875, 0.39615240693092346, 0, 0, 0
VG err, 57.767898814743589, 5.693569997088332, 0.23007753598792652, 0, 0, 0
QCD, 844.1304931640625, 0, 0, 0, 0, 0
QCD err, 602.11557474116694, 0, 0, 0, 0, 0
WJets, 605.60784912109375, 0, 0, 0, 0, 0
WJets err, 118.88814459892806, 0, 0, 0, 0, 0
Total, 1179871.375, 8808.80859375, 6.5241107940673828, 0, 0, 0
Total err, 1120.6051239972662, 77.732284384673662, 1.9308547776216172, 0, 0, 0
altTT, 20149.951171875, 399.02450561523438, 0, 0, 0, 0
altTT err, 169.90249853035701, 23.590596147900147, 0, 0, 0, 0
altVV, 6790.0546875, 68.40338134765625, 0, 0, 0, 0
altVV err, 50.649574711891979, 4.7234593047702464, 0, 0, 0, 0
altDY, 1128290.25, 8064.70703125, 4.5108642578125, 0, 0, 0
altDY err, 915.51200469145022, 76.804499363065958, 1.8288599816654993, 0, 0, 0
light, 1151291.25, 8288.1728515625, 4.9070167541503906, 0, 0, 0
light err, 917.50487009206029, 77.015244346317203, 1.8432754826948159, 0, 0, 0
light_alt, 1151291.25, 8288.1728515625, 4.9070167541503906, 0, 0, 0
light_alt err, 917.50487009206029, 77.015244346317203, 1.8432754826948159, 0, 0, 0
heavy, 21015.583984375, 463.85635375976562, 1.4498652219772339, 0, 0, 0
heavy err, 69.904494568488715, 10.436370450971319, 0.57037597221248992, 0, 0, 0
heavy_alt, 22022.712890625, 431.44479370117188, 0, 0, 0, 0
heavy_alt err, 170.35858637677666, 23.646384681438779, 0, 0, 0, 0
other, 7564.51416015625, 56.779304504394531, 0.16722853481769562, 0, 0, 0
other err, 639.57331004772561, 1.429106625458789, 0.072158973683632069, 0, 0, 0
other_alt, 8617.4140625, 69.665924072265625, 0.0057461299002170563, 0, 0, 0
other_alt err, 641.38171458250736, 4.7234799483957373, 0.00094704917460741126, 0, 0, 0
ZZ, 2694.243896484375, 28.118976593017578, 0, 0, 0, 0
ZZ err, 27.935191732342066, 2.8115490424416771, 0, 0, 0, 0
WZ, 3589.200927734375, 36.645118713378906, 0, 0, 0, 0
WZ err, 27.240625891626738, 2.7892493493471111, 0, 0, 0, 0
WW, 506.60983276367188, 3.6392917633056641, 0, 0, 0, 0
WW err, 32.294779491509921, 2.574169352030403, 0, 0, 0, 0
h_Sig_ZH_MS15ct100, 9.6354684829711914, 6.8236556053161621, 0.6263464093208313, 0, 0, 0
h_Sig_ZH_MS15ct100 err, 0.22826506614383887, 0.191013718384273, 0.056749410232716534, 0, 0, 0
h_Sig_ZH_MS15ct10, 8.4329738616943359, 8.7966737747192383, 0.79590439796447754, 0, 0, 0
h_Sig_ZH_MS15ct10 err, 0.21332422105833854, 0.21673295993492603, 0.063578619381846585, 0, 0, 0
h_Sig_ZH_MS40ct100, 7.0097074508666992, 7.1026082038879395, 0.63428384065628052, 0.027150735259056091, 0, 0
h_Sig_ZH_MS40ct100 err, 0.19497021036777917, 0.19362360733991477, 0.058135654466723446, 0.012346721429097087, 0, 0
h_Sig_ZH_MS40ct10, 8.2303524017333984, 5.6336784362792969, 0.41288113594055176, 0.0049753547646105289, 0, 0
h_Sig_ZH_MS40ct10 err, 0.21171377091010682, 0.17219920713131345, 0.046280970074598617, 0.0049753547646105289, 0, 0
h_Sig_ZH_MS55ct100, 5.7500042915344238, 5.9033942222595215, 0.52547508478164673, 0.020873112604022026, 0.0051350914873182774, 0
h_Sig_ZH_MS55ct100 err, 0.1771495602640277, 0.17822212811241744, 0.054089563776088381, 0.010856415883899326, 0.0051350914873182774, 0
h_Sig_ZH_MS55ct10, 7.8377885818481445, 4.3303947448730469, 0.3358970582485199, 0.0043911472894251347, 0, 0
h_Sig_ZH_MS55ct10 err, 0.20611056266398325, 0.15162854983024565, 0.042417050981190155, 0.0043911472894251347, 0, 0
h_Sig_ggZH_MS15ct100, 1.1824417114257812, 0.63621687889099121, 0.074277915060520172, 0, 0, 0
h_Sig_ggZH_MS15ct100 err, 0.071637494056593226, 0.051266321753538353, 0.018089446684938962, 0, 0, 0
h_Sig_ggZH_MS15ct10, 0.73180657625198364, 0.97676771879196167, 0.15356773138046265, 0, 0, 0
h_Sig_ggZH_MS15ct10 err, 0.055240898313507585, 0.065449571838730888, 0.025318730672407981, 0, 0, 0
h_Sig_ggZH_MS40ct100, 0.68304198980331421, 0.85912895202636719, 0.11462045460939407, 0.013152739033102989, 0, 0
h_Sig_ggZH_MS40ct100 err, 0.053860004600956926, 0.060850605979973098, 0.021047827573007397, 0.0076718541711622169, 0, 0
h_Sig_ggZH_MS40ct10, 0.89549762010574341, 0.72750979661941528, 0.15860211849212646, 0.013335583731532097, 0, 0
h_Sig_ggZH_MS40ct10 err, 0.06159300053745171, 0.056883647485689394, 0.026576792386309615, 0.0078959310016171232, 0, 0
h_Sig_ggZH_MS55ct100, 0.64034175872802734, 0.83743059635162354, 0.18147873878479004, 0.027112133800983429, 0.0036826673895120621, 0
h_Sig_ggZH_MS55ct100 err, 0.052621748173547811, 0.059522978974109776, 0.028508332507660581, 0.011254734454323833, 0.0036826673895120621, 0
h_Sig_ggZH_MS55ct10, 0.90492409467697144, 0.632732093334198, 0.18648199737071991, 0.021200656890869141, 0, 0
h_Sig_ggZH_MS55ct10 err, 0.063310716214561788, 0.051387409749101762, 0.028891571308620176, 0.010773034784667953, 0, 0
